front,back,hint,publishedAt
Czechia,Чехия,,2025-12-15T19:21:43.479Z
dictionary,словарь,"Словарь. Создаётся: x = {'a': 1, 'b': 2}. Хранит пары ключ–значение. Быстрый доступ по ключу",2025-11-12T16:47:26.343Z
numbers,"цифры, числа","цифры, числа; …consist of 7 numbers or letters. — …состоит из 7 цифр или букв",2025-12-17T16:04:21.241Z
Major functions,Основные функции,,2025-12-28T01:53:25.300Z
ruined,разрушенный,,2025-12-27T23:52:55.114Z
to say,сказать,"I'm sorry, what did you say?",2025-10-14T21:52:20.786Z
style,стиль,стиль,2025-07-02T14:52:32.312Z
tired,усталый,I am tired,2026-01-04T00:33:53.325Z
voluntary,добровольный,Language is a voluntary behaviour,2025-10-01T22:33:17.514Z
Vietnam Vietnamese,Вьетнам Вьетнамский,,2025-12-14T21:59:14.842Z
letters,буквы,буквы; …7 numbers or letters. — …7 цифр или букв,2025-12-17T16:04:28.095Z
server,сервер,сервер; server = machine serving data; Example: The server responds — Сервер отвечает,2025-12-01T21:58:30.873Z
at least,по крайней мере,по крайней мере; At least one digit. — По крайней мере одна цифра,2025-12-17T15:59:43.856Z
smaller,меньший,меньший; Smaller triangles are inside. — Меньшие треугольники находятся внутри,2025-12-17T15:59:28.947Z
Whiner,нытик,,2026-02-04T14:35:15.895Z
opinion,(мнение),(мнение) Everyone has an opinion. — У каждого есть мнение,2025-10-26T15:15:05.260Z
Portugal Portuguese,Португалия Португальский,,2025-12-14T21:59:30.780Z
qualitative research,Качественное исследование,Качественное исследование; изучает смысл и опыт; Example: Explores personal experiences,2025-12-10T03:14:16.810Z
English has,Английский имеет,,2025-12-27T23:24:24.707Z
permutations,перестановки,"перестановки; There are 6 permutations of the numbers 1, 2, 3. — Существует 6 перестановок чисел 1, 2, 3",2025-12-17T14:58:10.895Z
China,Китай,,2025-12-14T21:28:35.573Z
to be on holiday,быть в отпуске,,2025-12-24T02:01:12.037Z
meaning,значение,значение,2025-12-26T21:41:15.787Z
something,"что-то, нечто","что-то, нечто /ˈsʌmθɪŋ/; I want to tell you something. — Я хочу сказать тебе кое-что",2025-12-23T01:52:00.633Z
Southeast,Юго-восток,,2025-11-09T17:41:21.247Z
inborn,Врождённый,"Врождённый; Language is learned, not inborn. → Язык усваивается, а не является врождённым",2025-12-13T22:19:47.788Z
North,Север,The North of the country is known for its cold weather,2025-11-09T17:40:26.850Z
West,Запад,,2025-11-09T17:40:55.020Z
their,их,их; One of their books. — Одна из их книг,2025-12-17T15:59:47.945Z
traffic light,светофор,светофор /ˈtræfɪk laɪt/; Stop at the traffic light. — Остановись на светофоре,2025-12-23T01:52:09.137Z
parents,Родители,Родители; mother and father together; пример: “My parents are at home.”,2025-12-07T17:21:03.435Z
prison,тюрьма,тюрьма; a place where criminals are kept; Example: He is in prison. (Он в тюрьме.) /ˈprɪzən,2025-12-07T18:16:11.603Z
grandfather,дедушка,Дедушка; father of your parent; пример: “My grandfather tells stories.”,2025-12-07T17:21:06.084Z
daughter,дочь,Дочь; female child; пример: “His daughter is smart.”,2025-12-07T17:21:17.084Z
first reason,первая причина,первая причина; the main initial cause; Example: The first reason is simple. (Первая причина проста.) /fɜːrst ˈriːzən,2025-12-07T18:16:02.028Z
tradition,традиция,Language is a tradition,2025-10-01T22:33:23.293Z
linear,линейный,Линейный; Language is linear (one word after another). → Язык линеен (одно слово следует за другим),2025-12-13T22:19:19.400Z
system,система,"Система; Language is a conventional system of habitual vocal behaviour by which members of a community communicate with one another. → Язык — это условная система привычного звукового поведения, с помощью которой члены сообщества общаются друг с другом",2025-12-13T22:18:48.147Z
must,должен,"должен, необходимо; …must consist of 7 numbers… — …должна состоять из 7 цифр…",2025-12-17T16:04:09.858Z
fame,слава,,2026-01-25T16:48:36.018Z
shelf,полка,"полка, стеллаж; The books are on the top shelf. — Книги находятся на верхней полке",2025-12-17T16:05:37.725Z
social,социальный,Language is a social institution,2025-10-01T22:33:23.717Z
conservative,консервативный,Language is conservative,2025-10-01T22:33:24.500Z
odd,нечётные,нечётные; If all the digits are odd… — Если все цифры нечётные…,2025-12-17T16:05:15.584Z
dancer,танцор,Танцор; a person who dances professionally; пример: “The dancer performed on stage.”,2025-12-03T22:49:30.652Z
Denmark Danish,Дания Датский,,2025-12-14T21:57:52.657Z
grandmother,бабушка,Бабушка; mother of your parent; пример: “My grandmother cooks well.”,2025-12-07T17:22:35.086Z
stereotype,стереотип,стереотип; a fixed idea about a group; Example: This is just a stereotype. (Это всего лишь стереотип.) /ˈstɛriəˌtaɪp,2025-12-07T18:15:42.784Z
Netherlands Dutch,Нидерланды Нидерландский,,2025-12-14T22:00:24.451Z
permutations,перестановки,"перестановки; All permutations of 1,2,3. — Все перестановки 1,2,3",2025-12-17T16:00:20.402Z
involvement,вовлечённость,вовлечённость; participation or engagement; His involvement is important. — Его вовлечённость важна,2025-12-06T22:55:17.815Z
son,сын,Сын; male child; пример: “Their son is five.”,2025-12-07T17:21:04.185Z
effect,эффект,"эффект, последствие; a result of something; The effect was strong. — Эффект был сильным",2025-12-06T22:55:19.093Z
Northeast,Северо-восток,,2025-11-09T17:41:04.477Z
a writer,Писатель,Писатель; a person who writes books or articles; пример: “The writer published a new novel.”,2025-12-03T22:49:28.029Z
brother,брат,Брат; male sibling; пример: “My brother is older.”,2025-12-07T17:22:02.226Z
to shape,формировать,формировать; to give form or influence; School shapes us. — Школа формирует нас,2025-12-06T22:55:13.938Z
language,язык,Language is a conventional system of habitual vocal behaviour,2025-10-01T22:33:14.625Z
Sweden Swedish,Швеция Шведский,,2025-12-14T21:57:33.537Z
social institution,социальный институт,"Социальный институт; Language is a convention, tradition, social institution. → Язык — это конвенция, традиция, социальный институт",2025-12-13T22:19:13.815Z
Finland Finnish,Финляндия Финский,,2025-12-14T21:58:37.714Z
mistake,ошибка,,2025-12-25T22:50:04.306Z
Synthetic - using inflections,Синтетический — использует флексию,Синтетический. Смысл упакован внутрь слова. Порядок слов может быть более свободным,2025-12-26T21:24:11.835Z
negative,негативный,негативный; bad or harmful; a negative effect — негативный эффект,2025-12-06T22:55:19.795Z
unit,единица,"единица, разряд; The unit is 7 in 347. — Цифра единиц в числе 347 — 7",2025-12-17T15:58:33.422Z
each,каждый,каждый; Each triangle is different. — Каждый треугольник отличается,2025-12-17T15:59:23.983Z
arranged,упорядоченный,"расположенный, упорядоченный; Chairs are arranged in a circle. — Стулья расставлены по кругу",2025-12-17T16:00:08.876Z
as,как,,2025-12-28T01:53:00.194Z
dictionary,словарь,словарь; Look it up in the dictionary. — Посмотри это в словаре,2025-12-17T16:00:24.023Z
roundabout,круговое движение,круговое движение /ˈraʊndəˌbaʊt/; Take the second exit at the roundabout. — На круговом движении сверни на второй съезд,2025-12-23T01:52:06.319Z
fucking,чёртов,,2025-12-28T00:00:52.874Z
dialog,диалог,,2025-12-29T22:03:15.832Z
sick,больной,,2025-12-28T01:51:16.159Z
people,люди,(люди) People like good communication. — Людям нравится хорошее общение,2025-10-26T15:15:02.007Z
The USA,США,,2025-12-14T21:28:46.296Z
father,отец,Отец; male parent; пример: “His father works a lot.”,2025-12-07T17:21:13.477Z
Wednesday,среда,,2025-12-14T20:39:17.844Z
He is right,он прав,,2025-12-25T22:39:31.565Z
kind,добрый,Добрый; being nice and helpful to others; пример: “She is very kind to everyone.”,2025-12-04T00:47:59.397Z
sentence,предложение,,2025-12-28T01:55:28.517Z
sister,сестра,Сестра; female sibling; пример: “I have one sister.”,2025-12-07T17:21:18.879Z
Northwest,Северо-запад,,2025-11-09T17:41:10.764Z
free,свободный,свободный; free = not used; Example: Free IP address — Свободный IP,2025-12-01T21:59:05.803Z
deep,глубокий,глубокий; far down or intense; a deep voice — глубокий голос,2025-12-06T22:55:19.784Z
idea,идея,(идея) We can share ideas. — Мы можем делиться идеями,2025-10-26T15:15:05.702Z
grandparents,бабушка и дедушка,Бабушки и дедушки; parents of your parents; пример: “My grandparents live far.”,2025-12-07T17:21:29.216Z
message,сообщение,(сообщение) The message must be clear. — Сообщение должно быть понятным,2025-10-26T15:15:02.784Z
respect,уважение,(уважение) We must show respect. — Мы должны показывать уважение,2025-10-26T15:15:03.795Z
body language,язык тела,(язык тела) Body language helps to communicate. — Язык тела помогает общаться,2025-10-26T15:15:03.242Z
a mosque,мечеть,Four minarets stand at the corners of the mosque,2025-07-22T08:35:47.684Z
a point,точка,I live at the point where the two rivers meet,2025-07-22T08:34:33.338Z
problem,проблема,(проблема) Talking helps to solve problems. — Разговор помогает решать проблемы,2025-10-26T15:15:08.627Z
understand,понимать,(понимать) I try to understand other people. — Я стараюсь понимать других людей,2025-10-26T15:15:01.250Z
to join,присоединяться,присоединяться; to become a member; Join the club. — Вступи в клуб,2025-12-06T22:55:14.281Z
September,сентябрь,,2025-07-28T17:01:22.204Z
screen,экран,экран,2025-07-02T14:51:07.317Z
talk,говорить,(говорить) I like to talk with my friends. — Мне нравится говорить с друзьями,2025-10-26T15:14:58.661Z
to kick,пнуть,She accidentally kicked the chair while walking through the room,2025-10-14T21:53:39.422Z
static,статический,статический,2025-07-02T14:52:21.917Z
to send,послать,They sent her flowers for her birthday,2025-10-14T21:53:54.177Z
screenshot,скриншот,скриншот,2025-07-02T14:51:10.820Z
scanner,сканер,сканер,2025-07-02T14:50:57.533Z
to hear,слышать,I can't hear you,2025-10-14T21:53:15.460Z
baby,ребёнок,"Ребёнок, малыш; very young child; пример: “The baby is sleeping.”",2025-12-07T17:22:15.432Z
